record_id,longitude,latitude,date_value,T2M,RH2M
3.0,36.431,-0.7172,2001-01-01,16.48,60.94
3.0,36.431,-0.7172,2001-01-02,16.62,64.5
3.0,36.431,-0.7172,2001-01-03,16.82,66.62
3.0,36.431,-0.7172,2001-01-04,17.26,71.12
3.0,36.431,-0.7172,2001-01-05,15.17,82.88
3.0,36.431,-0.7172,2001-01-06,15.12,77.31
3.0,36.431,-0.7172,2001-01-07,15.97,73.5
3.0,36.431,-0.7172,2001-01-08,16.3,72.56
3.0,36.431,-0.7172,2001-01-09,14.98,80.5
3.0,36.431,-0.7172,2001-01-10,14.83,80.75
3.0,36.431,-0.7172,2001-01-11,15.23,83.25
3.0,36.431,-0.7172,2001-01-12,15.22,79.0
3.0,36.431,-0.7172,2001-01-13,14.83,76.25
3.0,36.431,-0.7172,2001-01-14,14.56,77.44
3.0,36.431,-0.7172,2001-01-15,14.99,77.69
3.0,36.431,-0.7172,2001-01-16,14.96,65.81
3.0,36.431,-0.7172,2001-01-17,15.33,63.94
3.0,36.431,-0.7172,2001-01-18,15.44,67.56
3.0,36.431,-0.7172,2001-01-19,15.9,66.38
3.0,36.431,-0.7172,2001-01-20,16.63,66.62
3.0,36.431,-0.7172,2001-01-21,16.53,72.25
3.0,36.431,-0.7172,2001-01-22,15.57,79.75
3.0,36.431,-0.7172,2001-01-23,15.47,80.44
3.0,36.431,-0.7172,2001-01-24,14.72,83.31
3.0,36.431,-0.7172,2001-01-25,14.42,80.0
3.0,36.431,-0.7172,2001-01-26,14.86,77.38
3.0,36.431,-0.7172,2001-01-27,15.15,79.31
3.0,36.431,-0.7172,2001-01-28,15.96,76.75
3.0,36.431,-0.7172,2001-01-29,15.94,73.12
3.0,36.431,-0.7172,2001-01-30,15.15,74.38
3.0,36.431,-0.7172,2001-01-31,14.85,64.44
3.0,36.431,-0.7172,2001-02-01,14.72,59.81
3.0,36.431,-0.7172,2001-02-02,14.96,52.88
3.0,36.431,-0.7172,2001-02-03,15.94,44.25
3.0,36.431,-0.7172,2001-02-04,17.41,43.81
3.0,36.431,-0.7172,2001-02-05,17.36,56.62
3.0,36.431,-0.7172,2001-02-06,16.49,72.31
3.0,36.431,-0.7172,2001-02-07,16.94,71.88
3.0,36.431,-0.7172,2001-02-08,16.42,70.62
3.0,36.431,-0.7172,2001-02-09,15.98,72.25
3.0,36.431,-0.7172,2001-02-10,15.85,73.25
3.0,36.431,-0.7172,2001-02-11,16.73,69.0
3.0,36.431,-0.7172,2001-02-12,16.87,68.25
3.0,36.431,-0.7172,2001-02-13,17.1,68.25
3.0,36.431,-0.7172,2001-02-14,16.63,69.06
3.0,36.431,-0.7172,2001-02-15,16.88,64.69
